YT_Video_ID,file_name,start_time,end_time,label
UCPIBQDI0QM,AN_WILTY_EP15_truth1,2:06,2:11,truth
UCPIBQDI0QM,AN_WILTY_EP15_truth2,2:25,2:32,truth
UCPIBQDI0QM,AN_WILTY_EP15_truth3,5:50,5:55,truth
UCPIBQDI0QM,AN_WILTY_EP15_lie4,7:03,7:06,deception
UCPIBQDI0QM,AN_WILTY_EP15_lie5,7:32,7:36,deception
UCPIBQDI0QM,AN_WILTY_EP15_truth6,8:58,9:04,truth
UCPIBQDI0QM,AN_WILTY_EP15_truth7,9:48,9:51,truth
UCPIBQDI0QM,AN_WILTY_EP15_truth8,17:04,17:08,truth
UCPIBQDI0QM,AN_WILTY_EP15_truth9,17:44,17:47,truth
UCPIBQDI0QM,AN_WILTY_EP15_lie10,18:17,18:20,deception
UCPIBQDI0QM,AN_WILTY_EP15_lie11,18:30,18:33,deception
UCPIBQDI0QM,AN_WILTY_EP15_lie12,18:41,18:45,deception
UCPIBQDI0QM,AN_WILTY_EP15_lie13,18:49,18:53,deception
UCPIBQDI0QM,AN_WILTY_EP15_lie14,19:01,19:07,deception
UCPIBQDI0QM,AN_WILTY_EP15_lie15,19:22,19:26,deception
UCPIBQDI0QM,AN_WILTY_EP15_lie16,19:29,19:34,deception
UCPIBQDI0QM,AN_WILTY_EP15_lie17,19:48,19:53,deception
UCPIBQDI0QM,AN_WILTY_EP15_lie18,23:38,23:42,deception
UCPIBQDI0QM,AN_WILTY_EP15_lie19,23:44,23:47,deception
UCPIBQDI0QM,AN_WILTY_EP15_truth20,25:26,25:31,truth
UCPIBQDI0QM,AN_WILTY_EP15_truth21,25:35,25:39,truth
UCPIBQDI0QM,AN_WILTY_EP15_truth22,25:44,25:47,truth
UCPIBQDI0QM,AN_WILTY_EP15_truth23,26:14,26:23,truth
UCPIBQDI0QM,AN_WILTY_EP15_truth24,26:28,26:37,truth
hhSNKJ_lcNU,AN_WILTY_EP16_lie1,2:04,2:07,deception
hhSNKJ_lcNU,AN_WILTY_EP16_lie2,2:21,2:27,deception
hhSNKJ_lcNU,AN_WILTY_EP16_lie3,2:42,2:46,deception
hhSNKJ_lcNU,AN_WILTY_EP16_lie4,2:50,2:54,deception
hhSNKJ_lcNU,AN_WILTY_EP16_lie5,3:01,3:05,deception
hhSNKJ_lcNU,AN_WILTY_EP16_lie6,3:11,3:15,deception
hhSNKJ_lcNU,AN_WILTY_EP16_lie7,3:33,3:36,deception
hhSNKJ_lcNU,AN_WILTY_EP16_truth8,5:29,5:37,truth
hhSNKJ_lcNU,AN_WILTY_EP16_truth9,5:55,6,truth
hhSNKJ_lcNU,AN_WILTY_EP16_truth10,6:04,6:09,truth
hhSNKJ_lcNU,AN_WILTY_EP16_truth11,6:14,6:17,truth
hhSNKJ_lcNU,AN_WILTY_EP16_truth12,8:51,8:58,truth
hhSNKJ_lcNU,AN_WILTY_EP16_truth13,9:07,9:11,truth
hhSNKJ_lcNU,AN_WILTY_EP16_truth14,9:40,9:47,truth
hhSNKJ_lcNU,AN_WILTY_EP16_truth15,9:50,9:53,truth
hhSNKJ_lcNU,AN_WILTY_EP16_truth16,15:57,16:06,truth
hhSNKJ_lcNU,AN_WILTY_EP16_lie17,16:11,16:21,deception
hhSNKJ_lcNU,AN_WILTY_EP16_lie18,17:11,17:14,deception
hhSNKJ_lcNU,AN_WILTY_EP16_lie19,21:12,21:16,deception
hhSNKJ_lcNU,AN_WILTY_EP16_lie20,21:25,21:30,deception
